Year,Winner,Loser,WRank,LRank,pl1_flag,pl1_year_pro,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_year_pro,pl2_weight,pl2_height,pl2_hand,higher_rank_won,rank_diff,rank_diff_cat,same_handedness
2022,Johnson S.,Thompson J.,104,73.0,USA,2012,86,188,Right,AUS,2013.0,73.0,183.0,Right,No,31.0,Medium,Yes
2022,Sinner J.,Sousa J.,10,140.0,ITA,2018,76,188,Right,POR,2008.0,74.0,185.0,Right,Yes,-130.0,High,Yes
2022,Paire B.,Monteiro T.,56,79.0,FRA,2007,80,196,Right,BRA,2011.0,78.0,183.0,Left,Yes,-23.0,Low,No
2022,Cressy M.,Isner J.,70,25.0,USA,2019,91,198,Right,USA,2007.0,108.0,208.0,Right,No,45.0,Medium,Yes
2022,Medvedev D.,Laaksonen H.,2,91.0,RUS,2014,81,198,Right,SUI,2009.0,78.0,185.0,Right,Yes,-89.0,High,Yes
2022,Murray A.,Basilashvili N.,113,23.0,GBR,2005,84,191,Right,GEO,2008.0,79.0,185.0,Right,No,90.0,High,Yes
2022,Auger-Aliassime F.,Ruusuvuori E.,9,90.0,CAN,2016,84,188,Right,FIN,2018.0,79.0,188.0,Right,Yes,-81.0,High,Yes
2022,Machac T.,Cerundolo J.M.,132,80.0,CZE,2017,74,183,Right,ARG,2018.0,71.0,183.0,Left,No,52.0,Medium,No
2022,Daniel T.,Barrios M.,120,147.0,JPN,2010,76,191,Right,CHI,2019.0,88.0,191.0,Right,Yes,-27.0,Low,Yes
2022,Molcan A.,Safiullin R.,74,149.0,SVK,2018,73,178,Right,RUS,2015.0,75.0,185.0,Right,Yes,-75.0,Medium,Yes
2022,Andujar P.,Dzumhur D.,83,161.0,ESP,2003,76,180,Right,BIH,2011.0,70.0,175.0,Right,Yes,-78.0,High,Yes
2022,Evans D.,Goffin D.,24,45.0,GBR,2006,75,175,Right,BEL,2009.0,68.0,180.0,Right,Yes,-21.0,Low,Yes
2022,Fritz T.,Marterer M.,22,228.0,USA,2015,84,193,Right,GER,2015.0,84.0,191.0,Left,Yes,-206.0,High,No
2022,Davidovich Fokina A.,Bolt A.,50,152.0,ESP,2017,80,183,Right,AUS,2011.0,84.0,183.0,Left,Yes,-102.0,High,No
2022,Baez S.,Ramos-Vinolas A.,88,44.0,ARG,2018,70,70,Right,ESP,2007.0,80.0,188.0,Left,No,44.0,Medium,No
2022,Tiafoe F.,Trungelliti M.,34,198.0,USA,2015,77,188,Right,ARG,2008.0,78.0,180.0,Right,Yes,-164.0,High,Yes
2022,Rinderknech A.,Popyrin A.,48,59.0,FRA,2018,86,196,Right,AUS,2017.0,78.0,196.0,Right,Yes,-11.0,Low,Yes
2022,Majchrzak K.,Seppi A.,107,101.0,POL,2013,78,180,Right,ITA,2002.0,75.0,191.0,Right,No,6.0,Low,Yes
2022,De Minaur A.,Musetti L.,42,60.0,AUS,2015,69,180,Right,ITA,2019.0,78.0,185.0,Right,Yes,-18.0,Low,Yes
2022,Kyrgios N.,Broady L.,115,128.0,AUS,2013,85,193,Right,GBR,2014.0,78.0,183.0,Left,Yes,-13.0,Low,No
2022,Tsitsipas S.,Ymer M.,4,86.0,GRE,2016,83,193,Right,SWE,2015.0,75.0,183.0,Right,Yes,-82.0,High,Yes
2022,Sonego L.,Otte O.,26,96.0,ITA,2013,76,191,Right,GER,2011.0,79.0,183.0,Right,Yes,-70.0,Medium,Yes
2022,Kecmanovic M.,Paul T.,77,41.0,SRB,2017,75,183,Right,USA,2015.0,78.0,185.0,Right,No,36.0,Medium,Yes
2022,Carreno Busta P.,Griekspoor T.,21,62.0,ESP,2009,78,188,Right,NED,2015.0,85.0,188.0,Right,Yes,-41.0,Medium,Yes
2022,Opelka R.,Koepfer D.,29,53.0,USA,2015,100,211,Right,GER,2016.0,79.0,180.0,Left,Yes,-24.0,Low,No
2022,Korda S.,Moutet C.,43,100.0,USA,2018,77,196,Right,FRA,2016.0,71.0,175.0,Left,Yes,-57.0,Medium,No
2022,Shapovalov D.,Kwon S.W.,14,54.0,CAN,2016,76,183,Left,KOR,2015.0,72.0,180.0,Right,Yes,-40.0,Medium,No
2022,Nadal R.,Hanfmann Y.,5,126.0,ESP,2001,85,185,Left,GER,2015.0,84.0,193.0,Right,Yes,-121.0,High,No
2022,Alcaraz C.,Lajovic D.,31,39.0,ESP,2018,72,185,Right,SRB,2007.0,78.0,183.0,Right,Yes,-8.0,Low,Yes
2022,Berrettini M.,Kozlov S.,7,169.0,ITA,2015,95,196,Right,USA,2013.0,79.0,183.0,Right,Yes,-162.0,High,Yes
2022,Garin C.,Martinez P.,19,61.0,CHI,2013,85,185,Right,ESP,2016.0,76.0,185.0,Right,Yes,-42.0,Medium,Yes
2022,Albot R.,Vukic A.,124,144.0,MDA,2008,69,175,Right,AUS,2018.0,85.0,188.0,Right,Yes,-20.0,Low,Yes
2022,Mannarino A.,Hurkacz H.,69,11.0,FRA,2004,70,180,Left,ITA,2013.0,77.0,188.0,Right,No,58.0,Medium,No
2022,Khachanov K.,Bonzi B.,30,63.0,RUS,2013,88,198,Right,FRA,2015.0,82.0,183.0,Right,Yes,-33.0,Medium,Yes
2022,Karatsev A.,Mcdonald M.,15,55.0,RUS,2011,85,185,Right,USA,2016.0,73.0,178.0,Right,Yes,-40.0,Medium,Yes
2022,Zverev A.,Millman J.,3,89.0,GER,2013,86,198,Right,AUS,2006.0,79.0,183.0,Right,Yes,-86.0,High,Yes
2022,Monfils G.,Bublik A.,20,37.0,FRA,2004,80,193,Right,KAZ,2014.0,76.0,196.0,Right,Yes,-17.0,Low,Yes
2022,Cilic M.,Gombos N.,27,117.0,CRO,2005,89,198,Right,SVK,2009.0,85.0,196.0,Right,Yes,-90.0,High,Yes
2022,O Connell C.,Schwartzman D.,175,13.0,AUS,2011,78,183,Right,ARG,2010.0,64.0,170.0,Right,No,162.0,High,Yes
2022,Cressy M.,Machac T.,70,132.0,USA,2019,91,198,Right,CZE,2017.0,74.0,183.0,Right,Yes,-62.0,Medium,Yes
2022,Rublev A.,Berankis R.,6,93.0,RUS,2014,68,188,Right,LTU,2007.0,70.0,175.0,Right,Yes,-87.0,High,Yes
2022,Evans D.,Rinderknech A.,24,48.0,GBR,2006,75,175,Right,FRA,2018.0,86.0,196.0,Right,Yes,-24.0,Low,Yes
2022,Andujar P.,Molcan A.,83,74.0,ESP,2003,76,180,Right,SVK,2018.0,73.0,178.0,Right,No,9.0,Low,Yes
2022,Fritz T.,Tiafoe F.,22,34.0,USA,2015,84,193,Right,USA,2015.0,77.0,188.0,Right,Yes,-12.0,Low,Yes
2022,Bautista Agut R.,Kohlschreiber P.,18,134.0,ESP,2005,76,183,Right,GER,2001.0,70.0,178.0,Right,Yes,-116.0,High,Yes
2022,Auger-Aliassime F.,Davidovich Fokina A.,9,50.0,CAN,2016,84,188,Right,ESP,2017.0,80.0,183.0,Right,Yes,-41.0,Medium,Yes
2022,De Minaur A.,Majchrzak K.,42,107.0,AUS,2015,69,180,Right,POL,2013.0,78.0,180.0,Right,Yes,-65.0,Medium,Yes
2022,Tsitsipas S.,Baez S.,4,88.0,GRE,2016,83,193,Right,ARG,2018.0,70.0,70.0,Right,Yes,-84.0,High,Yes
2022,Paire B.,Dimitrov G.,56,28.0,FRA,2007,80,196,Right,BUL,2008.0,80.0,191.0,Right,No,28.0,Low,Yes
2022,Daniel T.,Murray A.,120,113.0,JPN,2010,76,191,Right,GBR,2005.0,84.0,191.0,Right,No,7.0,Low,Yes
2022,Van De Zandschulp B.,Gasquet R.,57,81.0,NED,2018,83,188,Right,FRA,2002.0,75.0,185.0,Right,Yes,-24.0,Low,Yes
2022,Medvedev D.,Kyrgios N.,2,115.0,RUS,2014,81,198,Right,AUS,2013.0,85.0,193.0,Right,Yes,-113.0,High,Yes
2022,Sinner J.,Johnson S.,10,104.0,ITA,2018,76,188,Right,USA,2012.0,86.0,188.0,Right,Yes,-94.0,High,Yes
